id;name;publisher;region;languages;group;imagesize;serial;titleid;imgcrc;filename;releasename;trimmedsize;firmware;type;card
1432;Bike Rider DX;Spicysoft Corporation;USA;en;VENOM;1024;CTR-JCXE;00040000000FC000;25E694A3;v-brdx;Bike_Rider_DX_eShop_3DS-VENOM;78655488;500U;4;1
1433;SpeedX 3D;Gamelion Studios;USA;en;VENOM;1024;CTR-JSXE;0004000000087A00;738D8CDB;v-spdx;SpeedX_3D_eShop_3DS-VENOM;19132416;300U;4;1
1434;Crazy Construction;Purple Hills;EUR;en,fr,de;PUSSYCAT;1024;CTR-BCZP;0004000000147900;B2CEE7B4;cat-bczp;Crazy_Construction_EUR_MULTi3_3DS-PUSSYCAT;79249408;510E;1;1
1435;Phoenix Wright - Ace Attorney Trilogy;Capcom;EUR;en;XPA;4096;CTR-BHDP;0004000000133300;C3EEAB71;xpa-aatj;Phoenix_Wright_Ace_Attorney_Trilogy_EUR_eShop_3DS-XPA;385200128;510E;4;1
1436;Gotouchi Tetsudou - Gotouchi Chara to Nihon Zenkoku no Tabi;Bandai Namco Games;JPN;ja;HR;2048;CTR-BLTJ;000400000012FF00;7FAAA87D;hr-totetsu;Gotouchi_Tetsudou_Gotouchi_Chara_to_Nippon_Zenkoku_no_Tabi_JPN_3DS-HR;232173568;720J;1;1
1437;Fairune;CIRCLE Entertainment;EUR;en;BigBlueBox;1024;CTR-KFRP;0004000000148B00;0D743D32;bbb-n-kfrp;FairuneEUReShop3DS-BigBlueBox;101908480;720E;4;1
1438;Hazumi;Gamelion Studios;USA;en;BigBlueBox;1024;CTR-KHZE;000400000013C100;5E2BC82D;bbb-n-khze;HazumiUSAeShop3DS-BigBlueBox;9715712;720U;4;1
1439;Scarygirl Illustration Kit;Square One Games Inc;USA;en;BigBlueBox;1024;CTR-KSGE;000400000013D800;9E1CF2D5;bbb-n-ksge;ScarygirlIllustrationKitUSAeShop3DS-BigBlueBox;30158848;700U;4;2
1440;Smash Cat Heroes;Tom Create;USA;en;BigBlueBox;1024;CTR-JN2E;0004000000128500;9599C68F;bbb-n-jn2e;SmashCatHeroesUSAeShop3DS-BigBlueBox;36376576;510U;4;1
1441;Star Wars Pinball;Zen Studios;USA;en,fr,es;BigBlueBox;1024;CTR-JSWE;00040000000E6800;C320BA8B;bbb-n-jswe;StarWarsPinballUSAeShop3DS-BigBlueBox;70111232;500U;4;1
1442;Witch and Hero;CIRCLE Entertainment;EUR;en;BigBlueBox;1024;CTR-JWHP;00040000000D2400;AAC818AF;bbb-n-jwhp;WitchandHeroEUReShop3DS-BigBlueBox;39862272;500E;4;1
1443;Xeodrifter;Renegade Kid;USA;en;BigBlueBox;1024;CTR-KXEE;000400000014D600;A2D83768;bbb-n-kxee;XeodrifterUSAeShop3DS-BigBlueBox;54353920;700U;4;1
1444;AeternoBlade;Corecell Technology;EUR;en;ABSTRAKT;4096;CTR-ACUP;0004000000084D00;3D6C8588;as-aebl;AeternoBlade_eShop_3DS-ABSTRAKT;332984320;510E;4;1
1445;Cooking Mama - Watashi no Sweet Shop;Office Create;JPN;ja;HR;2048;CTR-BS8J;000400000014FA00;32E55F9D;hr-cookswe;Cooking_Mama_Watashi_no_Sweets_Shop_JPN_3DS-HR;211779584;700J;1;1
1446;Mega Man II GB;Capcom;USA;en;XPA;1024;CTR-RCDE;00040000000EF200;F731E10F;xpa-mem2;Mega_Man_2_GB_VC_USA_eShop_3DS-XPA;3633152;510U;4;1
